,city_name,Year,"Murders (per 100,000)","Rapes (per 100,000)","Robberies (per 100,000)","Assaults (per 100,000)","Burglaries (per 100,000)","Thefts (per 100,000)","Auto thefts (per 100,000)","Arson (per 100,000)",City-Data.com crime index
0,"Birmingham city, Alabama",2007,37.8,100.6,706.7,613.1,2136.0,5502.0,986.4,97.1,939.2
1,"Birmingham city, Alabama",2008,35.9,92.9,656.6,637.7,2257.0,5589.0,937.3,58.7,927.2
2,"Birmingham city, Alabama",2009,28.6,87.1,505.8,615.3,2207.0,5078.0,701.1,59.4,815.4
3,"Birmingham city, Alabama",2010,9.4,38.2,196.0,389.2,1229.0,2497.0,344.0,36.8,399.4
4,"Birmingham city, Alabama",2011,25.3,85.3,474.1,898.4,2723.0,4934.0,709.5,57.7,885.5
5,"Birmingham city, Alabama",2012,31.4,71.3,460.9,954.2,2206.0,4240.0,488.6,54.9,812.0
6,"Birmingham city, Alabama",2013,29.7,84.0,457.1,774.5,1895.0,4085.0,697.2,5.7,770.5
7,"Birmingham city, Alabama",2014,24.5,85.8,495.5,982.5,1768.0,4122.0,677.0,68.4,805.6
8,"Birmingham city, Alabama",2015,37.2,74.9,524.8,1109.0,1482.0,4163.0,713.6,68.3,841.0
9,"Birmingham city, Alabama",2016,36.7,70.6,445.5,1056.0,1314.0,3840.0,713.7,68.2,777.4
10,"Birmingham city, Alabama",2017,27.8,56.6,288.0,765.9,822.0,2840.0,525.0,66.0,553.6
11,"Birmingham city, Alabama",2018,41.8,85.5,446.9,1337.0,1213.0,4269.0,832.1,68.9,875.8
12,"Birmingham city, Alabama",2020,16.7,10.5,75.6,311.4,255.9,974.3,197.5,0.0,199.5
13,"Huntsville city, Alabama",2007,12.4,56.7,345.9,399.1,1348.0,4299.0,688.3,28.9,575.1
14,"Huntsville city, Alabama",2008,10.4,53.8,238.4,404.5,1371.0,4164.0,626.2,2.3,529.0
15,"Huntsville city, Alabama",2009,7.3,49.8,242.4,352.2,1411.0,3569.0,501.1,0.6,479.2
